order_id,product,category,quantity,price,sale_date,region
ORD-001,Laptop Pro 15,Electronics,1,89999.00,2024-01-05,Moscow
ORD-002,Wireless Mouse,Peripherals,3,1500.00,2024-01-07,SPB
ORD-003,Mechanical Keyboard,Peripherals,2,4500.00,2024-01-10,Moscow
ORD-004,Monitor 27 4K,Electronics,1,35000.00,2024-01-12,Novosibirsk
ORD-005,USB-C Hub,Accessories,5,2200.00,2024-01-15,Moscow
ORD-006,Laptop Pro 15,Electronics,2,89999.00,2024-02-03,SPB
ORD-007,Webcam HD,Peripherals,4,3200.00,2024-02-08,Novosibirsk
ORD-008,SSD 1TB,Storage,3,6500.00,2024-02-10,Moscow
ORD-009,RAM 32GB,Components,2,8900.00,2024-02-14,SPB
ORD-010,Monitor 27 4K,Electronics,1,35000.00,2024-02-20,Moscow
ORD-011,USB-C Hub,Accessories,10,2200.00,2024-03-01,Novosibirsk
ORD-012,Laptop Pro 15,Electronics,1,89999.00,2024-03-05,Moscow
ORD-013,Mechanical Keyboard,Peripherals,3,4500.00,2024-03-11,SPB
ORD-014,SSD 1TB,Storage,5,6500.00,2024-03-15,Novosibirsk
ORD-015,RAM 32GB,Components,4,8900.00,2024-03-22,Moscow
INVALID,,Electronics,-1,abc,bad-date,
